"","Ia","p.Ia","rbarD","p.rD"
"0C11:1G13",0.13,0,0.13,0
"0C11:G07",0.03,0.1,0.03,0.1
"0C11:1F02",0.05,0,0.05,0
"0C11:FIR031",0.06,0,0.06,0
"0C11:GOT009",0.01,0.28,0.01,0.28
"0C11:POR016",0.07,0,0.07,0
"0C11:FIR013",0.01,0.21,0.01,0.21
"0C11:FIR043",0.02,0.06,0.02,0.06
"0C11:GOTO40",0.05,0.01,0.05,0.01
"0C11:PIE039",-0.01,0.61,-0.01,0.61
"0C11:FIR53",0.01,0.35,0.01,0.35
"0C11:FIR048",0.06,0,0.06,0
"0C11:PIE125",0.03,0.03,0.03,0.03
"0C11:QpZAG9",0.03,0,0.03,0
"1G13:G07",0,0.58,0,0.57
"1G13:1F02",0.04,0,0.04,0
"1G13:FIR031",0.06,0,0.06,0
"1G13:GOT009",0.03,0.03,0.03,0.03
"1G13:POR016",0.02,0.22,0.02,0.23
"1G13:FIR013",0.02,0.31,0.02,0.31
"1G13:FIR043",0.01,0.21,0.01,0.21
"1G13:GOTO40",0,0.54,0,0.54
"1G13:PIE039",-0.03,0.94,-0.03,0.94
"1G13:FIR53",0.01,0.34,0.01,0.34
"1G13:FIR048",0.06,0,0.06,0
"1G13:PIE125",0,0.35,0,0.35
"1G13:QpZAG9",0.09,0,0.09,0
"G07:1F02",0.06,0.15,0.07,0.12
"G07:FIR031",0.03,0.06,0.03,0.06
"G07:GOT009",0,0.44,0,0.44
"G07:POR016",-0.07,0.98,-0.07,0.98
"G07:FIR013",-0.03,0.82,-0.04,0.84
"G07:FIR043",-0.01,0.69,-0.01,0.7
"G07:GOTO40",0.01,0.41,0.01,0.41
"G07:PIE039",0.04,0.13,0.04,0.14
"G07:FIR53",-0.03,0.94,-0.04,0.94
"G07:FIR048",0.02,0.09,0.02,0.09
"G07:PIE125",0,0.43,0.01,0.43
"G07:QpZAG9",0.02,0.14,0.02,0.14
"1F02:FIR031",0.05,0,0.06,0
"1F02:GOT009",0.06,0,0.06,0
"1F02:POR016",0.03,0.15,0.03,0.16
"1F02:FIR013",0.05,0.01,0.05,0.01
"1F02:FIR043",0.04,0.01,0.04,0.01
"1F02:GOTO40",0,0.46,0,0.46
"1F02:PIE039",0.02,0.24,0.02,0.24
"1F02:FIR53",0.03,0.03,0.03,0.03
"1F02:FIR048",0.04,0,0.04,0
"1F02:PIE125",0.08,0,0.08,0
"1F02:QpZAG9",0.12,0,0.12,0
"FIR031:GOT009",0.08,0,0.08,0
"FIR031:POR016",0.04,0.02,0.04,0.02
"FIR031:FIR013",0.04,0,0.04,0
"FIR031:FIR043",0.06,0,0.06,0
"FIR031:GOTO40",0.03,0.02,0.03,0.02
"FIR031:PIE039",0.01,0.27,0.01,0.27
"FIR031:FIR53",0.02,0.03,0.02,0.03
"FIR031:FIR048",0.06,0,0.06,0
"FIR031:PIE125",0.04,0,0.04,0
"FIR031:QpZAG9",0.06,0,0.06,0
"GOT009:POR016",0,0.4,0,0.4
"GOT009:FIR013",0,0.43,0,0.43
"GOT009:FIR043",0.06,0,0.06,0
"GOT009:GOTO40",0.06,0,0.06,0
"GOT009:PIE039",0,0.56,0,0.56
"GOT009:FIR53",0,0.42,0,0.42
"GOT009:FIR048",0.06,0,0.06,0
"GOT009:PIE125",0,0.6,0,0.6
"GOT009:QpZAG9",0.08,0,0.08,0
"POR016:FIR013",0.06,0.05,0.06,0.04
"POR016:FIR043",0.06,0,0.06,0
"POR016:GOTO40",0.04,0.15,0.04,0.15
"POR016:PIE039",0.01,0.33,0.01,0.33
"POR016:FIR53",-0.02,0.81,-0.02,0.81
"POR016:FIR048",0.02,0.12,0.02,0.12
"POR016:PIE125",-0.04,0.94,-0.04,0.94
"POR016:QpZAG9",0,0.55,0,0.55
"FIR013:FIR043",0.01,0.31,0.01,0.31
"FIR013:GOTO40",0.09,0.01,0.09,0.01
"FIR013:PIE039",0.02,0.21,0.02,0.21
"FIR013:FIR53",0,0.55,0,0.55
"FIR013:FIR048",0.04,0.01,0.04,0.01
"FIR013:PIE125",0.06,0.01,0.06,0.01
"FIR013:QpZAG9",0.02,0.26,0.02,0.25
"FIR043:GOTO40",-0.03,0.9,-0.03,0.9
"FIR043:PIE039",0.05,0.01,0.05,0
"FIR043:FIR53",0,0.45,0,0.45
"FIR043:FIR048",0.05,0,0.05,0
"FIR043:PIE125",0,0.36,0,0.36
"FIR043:QpZAG9",0.05,0,0.05,0
"GOTO40:PIE039",0.05,0.06,0.05,0.06
"GOTO40:FIR53",-0.02,0.86,-0.02,0.85
"GOTO40:FIR048",0.06,0,0.07,0
"GOTO40:PIE125",0.07,0,0.07,0
"GOTO40:QpZAG9",-0.02,0.84,-0.02,0.84
"PIE039:FIR53",-0.02,0.82,-0.02,0.82
"PIE039:FIR048",0.04,0.01,0.04,0.01
"PIE039:PIE125",0.06,0,0.06,0
"PIE039:QpZAG9",-0.01,0.81,-0.01,0.81
"FIR53:FIR048",0.01,0.1,0.01,0.1
"FIR53:PIE125",0.01,0.29,0.01,0.29
"FIR53:QpZAG9",0.05,0,0.05,0
"FIR048:PIE125",0.08,0,0.08,0
"FIR048:QpZAG9",0.07,0,0.07,0
"PIE125:QpZAG9",0.05,0,0.05,0
